,word,bigram,concm,concsd,unknown,total,percent_known,subtlex,dom_pos,abstract,concrete
8113,eh,0,1.04,0.2,4,29,0.86,2619,Interjection,eh,
39954,essentialness,0,1.04,0.2,2,26,0.92,0,#N/A,essentialness,
8035,although,0,1.07,0.27,0,27,1,2143,Conjunction,although,
23145,spirituality,0,1.07,0.37,0,30,1,46,Noun,spirituality,
28707,would,0,1.12,0.34,3,27,0.89,90162,Verb,would,
8004,spiritually,0,1.14,0.35,0,29,1,55,Adverb,spiritually,
8061,whatsoever,0,1.17,0.46,0,30,1,470,Determiner,whatsoever,
39952,conceptualistic,0,1.18,0.5,4,26,0.85,0,#N/A,conceptualistic,
39953,conventionalism,0,1.18,0.48,1,29,0.97,0,#N/A,conventionalism,
6128,enlightening,0,1.19,0.4,0,27,1,37,Adjective,enlightening,
8003,perhaps,0,1.19,0.4,0,26,1,6939,Adverb,perhaps,
8034,if,0,1.19,0.56,0,27,1,180610,Conjunction,if,
23144,belief,0,1.19,0.68,0,27,1,388,Noun,belief,
28706,idealize,0,1.19,0.4,0,27,1,6,Verb,idealize,
8032,inasmuch,0,1.2,0.5,4,29,0.86,26,Conjunction,inasmuch,
8033,though,0,1.2,0.41,0,30,1,9279,Conjunction,though,
39951,agnostically,0,1.2,0.5,2,27,0.93,0,#N/A,agnostically,
6125,ambivalent,0,1.21,0.57,1,29,0.97,12,Adjective,ambivalent,
6126,idealistic,0,1.21,0.56,0,29,1,41,Adjective,idealistic,
6127,inexplicable,0,1.21,0.5,1,29,0.97,38,Adjective,inexplicable,
8000,figuratively,0,1.21,0.5,0,28,1,39,Adverb,figuratively,
8001,intuitively,0,1.21,0.56,0,29,1,5,Adverb,intuitively,
8002,terribly,0,1.21,0.49,0,29,1,1205,Adverb,terribly,
39948,in_principle,1,1.21,0.41,4,28,0.86,0,#N/A,in_principle,
39949,interpretively,0,1.21,0.51,1,25,0.96,0,#N/A,interpretively,
39950,unenvied,0,1.21,0.62,1,30,0.97,0,#N/A,unenvied,
7999,infinitely,0,1.22,0.51,1,28,0.96,48,Adverb,infinitely,
8031,because,0,1.22,0.51,0,27,1,54622,Conjunction,because,
39947,irresolutely,0,1.22,0.52,3,26,0.88,0,#N/A,irresolutely,
6124,intuitive,0,1.23,0.5,0,30,1,54,Adjective,intuitive,
7997,thusly,0,1.23,0.51,1,27,0.96,8,Adverb,thusly,
7998,wherever,0,1.23,0.59,0,26,1,1500,Adverb,wherever,
28705,zing,0,1.23,0.43,4,26,0.85,60,Verb,zing,
39946,infinitively,0,1.23,0.59,3,29,0.9,0,#N/A,infinitively,
23143,someway,0,1.24,0.52,2,27,0.93,4,Noun,someway,
39944,advantageously,0,1.24,0.44,3,28,0.89,0,#N/A,advantageously,
39945,inconclusiveness,0,1.24,0.52,0,25,1,0,#N/A,inconclusiveness,
23142,absurdity,0,1.25,0.59,1,29,0.97,32,Noun,absurdity,
28704,hope,0,1.25,0.59,0,28,1,16352,Verb,hope,
39943,knowingness,0,1.25,0.53,3,27,0.89,0,#N/A,knowingness,
6123,conceptual,0,1.26,0.59,2,29,0.93,12,Adjective,conceptual,
7995,herewith,0,1.26,0.86,4,27,0.85,18,Adverb,herewith,
